measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Azerbaijan,Both,All Ages,All causes,Rate,2017,738.5006248910569,784.7579407421244,696.9870187259439
Deaths,Portugal,Both,All Ages,All causes,Number,2017,113754.21744223878,118559.21149991389,108925.99698790106
Deaths,Portugal,Both,All Ages,All causes,Rate,2017,1064.9437314870004,1109.927103678469,1019.7429185176258
Deaths,Maldives,Both,All Ages,All causes,Number,2017,1149.3889337899168,1206.612592695818,1095.4944557381368
Deaths,Maldives,Both,All Ages,All causes,Rate,2017,250.62946810761335,263.10734637242984,238.87753282186463
Deaths,Georgia,Both,All Ages,All causes,Number,2017,50563.74202548814,51700.14025425852,49322.97530887699
Deaths,Georgia,Both,All Ages,All causes,Rate,2017,1369.80042679828,1400.5860988317645,1336.1873532817983
Deaths,Guam,Both,All Ages,All causes,Number,2017,1251.8744668105658,1326.0541739210394,1178.902025924844
Deaths,Guam,Both,All Ages,All causes,Rate,2017,745.888182318552,790.0857183882176,702.4099560789272
Deaths,Myanmar,Both,All Ages,All causes,Number,2017,409963.24895793735,445309.50503405265,372739.357829043
Deaths,Myanmar,Both,All Ages,All causes,Rate,2017,776.5190297759758,843.4690321096101,706.0125638979541
Deaths,El Salvador,Both,All Ages,All causes,Number,2017,41517.775540977505,47059.88274576242,36530.9503750257
Deaths,El Salvador,Both,All Ages,All causes,Rate,2017,682.0788194404881,773.1278674734538,600.1522764687588
Deaths,Djibouti,Both,All Ages,All causes,Number,2017,6226.851598176014,8168.356097062577,4797.667025746721
Deaths,Djibouti,Both,All Ages,All causes,Rate,2017,559.4150568429513,733.8381713947119,431.0183291838565
Deaths,Egypt,Both,All Ages,All causes,Number,2017,499504.2814828908,543940.4423848536,459006.77166986855
Deaths,Egypt,Both,All Ages,All causes,Rate,2017,517.7068059532915,563.7622729076221,475.73351917360696
Deaths,Spain,Both,All Ages,All causes,Number,2017,416519.7246624167,432610.60001883324,400322.9680975651
Deaths,Spain,Both,All Ages,All causes,Rate,2017,897.8805647966808,932.5672396349541,862.9656446350726
Deaths,Ireland,Both,All Ages,All causes,Number,2017,30809.88389498116,32328.50450359017,29286.600800512606
Deaths,Ireland,Both,All Ages,All causes,Rate,2017,633.8761828739339,665.1199693776402,602.5364713498859
Deaths,Haiti,Both,All Ages,All causes,Number,2017,88629.35933913157,100402.73097333201,78328.832988187
Deaths,Haiti,Both,All Ages,All causes,Rate,2017,749.5187655611801,849.0835490545746,662.4095068148895
Deaths,Iran,Both,All Ages,All causes,Number,2017,380006.28905036836,381857.9114717362,378023.5209776467
Deaths,Iran,Both,All Ages,All causes,Rate,2017,462.42914634682603,464.6823832019565,460.01631852346577
Deaths,Israel,Both,All Ages,All causes,Number,2017,45677.0416584045,47875.62951034531,43608.712252996316
Deaths,Israel,Both,All Ages,All causes,Rate,2017,510.40374189494435,534.9711706462954,487.2918452032405
Deaths,Jamaica,Both,All Ages,All causes,Number,2017,20259.910545902632,22587.687641758755,18193.554008843603
Deaths,Jamaica,Both,All Ages,All causes,Rate,2017,728.9667457270276,812.7219079474905,654.617690882048
Deaths,Nepal,Both,All Ages,All causes,Number,2017,182751.43607782494,197584.12325553168,166242.01910723493
Deaths,Nepal,Both,All Ages,All causes,Rate,2017,611.3821322266475,661.0038485205502,556.1510338236787
Deaths,Australia,Both,All Ages,All causes,Number,2017,170872.38625999138,185429.52641170807,156975.53387349207
Deaths,Australia,Both,All Ages,All causes,Rate,2017,713.6607955372834,774.4597370679219,655.6195932887055
Deaths,Pakistan,Both,All Ages,All causes,Number,2017,1416037.4416730835,1589763.3141080795,1249527.111522608
Deaths,Pakistan,Both,All Ages,All causes,Rate,2017,660.8121429746328,741.8835628929282,583.1079489639549
Deaths,Seychelles,Both,All Ages,All causes,Number,2017,762.5560794977919,792.1305031688195,733.2049517362505
Deaths,Seychelles,Both,All Ages,All causes,Rate,2017,755.7007684755561,785.00932072018,726.6135047301416
Deaths,Fiji,Both,All Ages,All causes,Number,2017,7252.523883187355,8014.6614354467165,6509.631269490412
Deaths,Fiji,Both,All Ages,All causes,Rate,2017,799.6707477989141,883.7048187178269,717.7586436131581
Deaths,Sao Tome and Principe,Both,All Ages,All causes,Number,2017,1052.6832546462194,1144.9555961440135,962.257053860147
Deaths,Sao Tome and Principe,Both,All Ages,All causes,Rate,2017,525.8001102500658,571.8888146333,480.63352653843293
Deaths,New Zealand,Both,All Ages,All causes,Number,2017,32621.442953381546,34087.86878432303,31323.27342170226
Deaths,New Zealand,Both,All Ages,All causes,Rate,2017,733.3339120836841,766.2993389325736,704.1509068262327
Deaths,Mozambique,Both,All Ages,All causes,Number,2017,256849.81779911567,286078.0421478872,232530.01729462485
Deaths,Mozambique,Both,All Ages,All causes,Rate,2017,855.1597055440931,952.4726020135032,774.1889903747439
Deaths,Rwanda,Both,All Ages,All causes,Number,2017,68229.7044612179,75082.52971038212,61912.22428776978
Deaths,Rwanda,Both,All Ages,All causes,Rate,2017,543.4822947525619,598.0683320418053,493.1605375526469
Deaths,Philippines,Both,All Ages,All causes,Number,2017,666558.9507055759,736921.4789816188,598755.9727163507
Deaths,Philippines,Both,All Ages,All causes,Rate,2017,644.2011804252455,712.2036035044815,578.672455005281
Deaths,Sri Lanka,Both,All Ages,All causes,Number,2017,125996.51110484505,142481.9115397817,109301.89631249214
Deaths,Sri Lanka,Both,All Ages,All causes,Rate,2017,583.413403915379,659.7472920390854,506.1107710277291
Deaths,Senegal,Both,All Ages,All causes,Number,2017,87598.8296660664,96695.20765853622,79601.78267513805
Deaths,Senegal,Both,All Ages,All causes,Rate,2017,596.3958856039254,658.3264208552271,541.9498851202172
Deaths,Brazil,Both,All Ages,All causes,Number,2017,1349150.4221394218,1357260.6304592441,1341187.2584991027
Deaths,Brazil,Both,All Ages,All causes,Rate,2017,636.9544298950291,640.7833825691806,633.19489925008
Deaths,Brunei,Both,All Ages,All causes,Number,2017,1875.0299033880876,2003.2509850119952,1759.0513238025098
